title,year,certificate,duration,genre,rating,description,stars,votes,type
Elesin Oba: The King's Horseman,2022,Unknown,96 min,"Adventure, Drama, History",9.4,"Inspired by true life events, in the Oyo Empire in the 1940's, Elesin Oba, the king's chief horseman, succumbs to the lure of beauty and sexual desire on the very evening he is set to die ...                See full summary »","['Biyi Bandele', '| ', '    Stars:', 'Odunlade Adekola, ', 'Shaffy Bello, ', 'Olawale-Brymo Olofooro, ', 'Deyemi Okanlawon']",72,Movie
Vagabond,2019,Unknown,Unknown,"Action, Mystery, Thriller",9.3,The plan to get Woo Gi safely to the courthouse takes an unanticipated turn and throws the Blue House into panic mode.,"['Yu In-sik', '| ', '    Stars:', 'Lee Seung-gi, ', 'Bae Suzy, ', 'Seong-rok Sin, ', 'Moon Jeong-Hee']",187,Movie
Hans Zimmer Live in Prague,2017,Unknown,150 min,"Documentary, Music",9.1,The renowned film score composer leads a concert featuring his cinematic compositions.,"['Tim Van Someren', '| ', '    Stars:', 'Hans Zimmer, ', 'Yolanda Charles, ', 'Michael Einziger, ', 'Nick Glennie-Smith']",2710,Movie
"#ABtalks",2018,Unknown,Unknown,Unknown,9.1,"#ABtalks is an interview show hosted by Anas Bukhash, showcasing the 'raw' side of celebrities, athletes, entrepreneurs, and influencers as human beings.","['Karen Wazen, ', 'Deema Al Asadi, ', 'Hala Abdallah, ', 'Mina Al Sheikhly']",15,Movie
"#HappyBirthdaySense8",2017,Unknown,15 min,Short,9.0,Add a Plot,"['Josh Oreck', '| ', '    Stars:', 'Freema Agyeman, ', 'Jamie Clayton, ', 'Tina Desai, ', 'Bae Doona']",844,Movie
Surau dan Silek,2017,Unknown,90 min,"Comedy, Drama, Family",9.0,An eleven-year-old boy discovers the true meaning of silek (a martial art) when he meets a 60-year-old retired university teacher and former silek warrior that he is resolved to put an end to his feud with his competitors.,"['Arief Malinmudo', '| ', '    Stars:', 'Randu Arini, ', 'Barry F. Cheln, ', 'Gilang Dirga, ', 'Dewi Irawan']",71,Movie
The Sense8 Experience,2017,Unknown,4 min,Short,8.9,Add a Plot,"['Josh Oreck', '| ', '    Stars:', 'Aml Ameen, ', 'Jamie Clayton, ', 'Tina Desai, ', 'Bae Doona']",800,Movie
The Umbilical Brothers: The Rehearsal,2014,Unknown,92 min,Comedy,8.9,"The outrageous comedy duo uses elements of multimedia, mime and audience participation in a show that takes viewers inside their creative process.","['David Collins, ', 'Shane Dundas, ', 'Jim Hare', '| ', '    Stars:', 'David Collins, ', 'Shane Dundas, ', 'Paul Michael Ayre, ', 'Stephen Whitehead']",15,Movie
Chief of Staff,2019,Unknown,Unknown,Drama,8.9,"Han Do Kyung joins the staff as a new intern. Tae Joon makes a controversial proposal for the upcoming government audit, which has everyone on edge.","['Jung Hwan Kwak', '| ', '    Stars:', 'Lee Jung-jae, ', 'Shin Min-a, ', 'Elliya Lee, ', 'Dong-jun Kim']",15,Movie
Chen qing ling,2019,Unknown,50 min,"Action, Adventure, Drama",8.8,Two talented disciples of respectable magical clans unit during the cultivation training and through many hardships they are together.,"['Zhan Xiao, ', 'Yibo Wang, ', 'Zhuocheng Wang, ', 'Lu Xuan']",6380,Movie
Vagabond,2019,Unknown,Unknown,"Action, Mystery, Thriller",8.8,The NIS takes Dal Geon to a safe house. Tae Woong questions Oh Sang Mi about her husband's involvement in the plane crash but is ordered to release her.,"['Yu In-sik', '| ', '    Stars:', 'Lee Seung-gi, ', 'Bae Suzy, ', 'Seong-rok Sin, ', 'Moon Jeong-Hee']",156,Movie
Vagabond,2019,Unknown,Unknown,"Action, Mystery, Thriller",8.8,Dal Geon runs into trouble while trying to carry out his own search. Tae Woong is displeased that the operation in Morocco doesn't go as planned.,"['Yu In-sik', '| ', '    Stars:', 'Lee Seung-gi, ', 'Bae Suzy, ', 'Seong-rok Sin, ', 'Moon Jeong-Hee']",141,Movie
Vagabond,2019,Unknown,Unknown,"Action, Mystery, Thriller",8.8,"After running from the embassy, Dal Geon and the others head back to Korea another way. Min Jae Shik confronts Kang Joo Cheol.","['Yu In-sik', '| ', '    Stars:', 'Lee Seung-gi, ', 'Bae Suzy, ', 'Seong-rok Sin, ', 'Moon Jeong-Hee']",139,Movie
Hotel Del Luna,2019,Unknown,82 min,"Action, Comedy, Drama",8.8,Choi Seo Hee prepares to move on to the next life. The killer ghost terrorizes Chan Seong's friends. Man Wol witnesses a startling relationship.,"['Choong Hwan Oh', '| ', '    Stars:', 'Ji-eun Lee, ', 'Yeo Jin-gu, ', 'Shin Jeong-geun, ', 'Bae Hae-sun']",127,Movie
Hotel Del Luna,2019,Unknown,83 min,"Action, Comedy, Drama",8.8,"As the hotel and its staff wait for Man Wol, Ma Go Shin sends Chan Seong through time to collect an ingredient to brew a powerful drink.","['Choong Hwan Oh', '| ', '    Stars:', 'Ji-eun Lee, ', 'Yeo Jin-gu, ', 'Shin Jeong-geun, ', 'Bae Hae-sun']",100,Movie
A Love to Last,2017,Unknown,Unknown,"Drama, Family, Music",8.8,"The story follows two different people, Andeng (Bea Alonzo) and Anton (Ian Veneracion), who will prove whether or not two broken hearts can make their love last.","['Bea Alonzo, ', 'Ian Veneracion, ', 'Iza Calzado, ', 'Julia Barretto']",38,Movie
Chief of Staff,2019,Unknown,Unknown,Drama,8.8,Add a Plot,"['Jung Hwan Kwak', '| ', '    Stars:', 'Lee Jung-jae, ', 'Shin Min-a, ', 'Elliya Lee, ', 'Dong-jun Kim']",12,Movie
Greatest Events of WWII in Colour,2019,Unknown,50 min,"Documentary, History, War",8.7,A series of colorized archive footage of important events during World War II.,"['Derek Jacobi, ', 'Geoffrey Wawro, ', 'James Holland, ', 'Saul David']",8906,Movie
Flower of Evil,2020,Unknown,70 min,"Crime, Mystery, Romance",8.7,"\"Flower of Evil\" is a suspense melodrama about a man who hides his cruel past and changes his identity, while his detective wife tracks down his past.","['Lee Joon-Gi, ', 'Moon Chae-Won, ', 'Seo Hyun-woo, ', 'Choi Dae-hoon']",7700,Movie
Dave Chappelle,2017,Unknown,66 min,"Documentary, Comedy",8.7,"Comedian Dave Chappelle makes his triumphant return to the screen with a pair of blistering, never-before-aired specials from his personal vault.",['Dave Chappelle'],2851,Movie
Vagabond,2019,Unknown,Unknown,"Action, Mystery, Thriller",8.7,"Dal Geon and the agents try to keep Kim Woo Gi alive, and request NIS backup. Jessica moves to pin the plane crash on someone else.","['Yu In-sik', '| ', '    Stars:', 'Lee Seung-gi, ', 'Bae Suzy, ', 'Seong-rok Sin, ', 'Moon Jeong-Hee']",131,Movie
Vagabond,2019,Unknown,Unknown,"Action, Mystery, Thriller",8.7,"Sang Mi leaves behind a warning about a shady figure named Samael, putting everything Dal Geon thought he knew about the crash into question","['Yu In-sik', '| ', '    Stars:', 'Lee Seung-gi, ', 'Bae Suzy, ', 'Seong-rok Sin, ', 'Moon Jeong-Hee']",128,Movie
Hotel Del Luna,2019,Unknown,79 min,"Action, Comedy, Drama",8.7,"With a lunar eclipse approaching, Man Wol fulfills a flood of special requests, including one from a former hotel manager.","['Choong Hwan Oh', '| ', '    Stars:', 'Ji-eun Lee, ', 'Yeo Jin-gu, ', 'Shin Jeong-geun, ', 'Bae Hae-sun']",111,Movie
Chief of Staff,2019,Unknown,Unknown,Drama,8.7,Add a Plot,"['Jung Hwan Kwak', '| ', '    Stars:', 'Lee Jung-jae, ', 'Shin Min-a, ', 'Elliya Lee, ', 'Dong-jun Kim']",11,Movie
Untitled Kanye West Documentary,2022,Not Rated,93 min,"Documentary, Music",8.6,"Kanye hustles to establish his voice at the label. When a car crash and broken jaw threaten it all, the unstoppable artist turns pain into platinum.","['Coodie, ', 'Chike Ozah', '| ', '    Stars:', 'Ye, ', 'Kevin Bacon, ', 'Yasiin Bey, ', 'Big V']",1041,Movie
Lastman,2016,Unknown,Unknown,"Animation, Action, Adventure",8.6,"In the corrupted city of Paxtown, boxer Richard Aldana becomes the protector of Siri, a young orphaned wanted by mysterious and monstrous superhumans.","['Tyler Bunch, ', 'Coryn Williams, ', 'Martial Le Minoux, ', 'Maëlys Ricordeau']",985,Movie
Vagabond,2019,Unknown,Unknown,"Action, Mystery, Thriller",8.6,"Dal Geon gets a call from someone out of the blue and is approached by a journalist, who claims to be pursuing a story about the plane crash.","['Yu In-sik', '| ', '    Stars:', 'Lee Seung-gi, ', 'Bae Suzy, ', 'Seong-rok Sin, ', 'Moon Jeong-Hee']",158,Movie
Vagabond,2019,Unknown,Unknown,"Action, Mystery, Thriller",8.6,Dal Geon attempts to alert the press about what he knows but someone interferes. Hae Ri contacts Ki Tae Woong to get answers about the flash drive.,"['Yu In-sik', '| ', '    Stars:', 'Lee Seung-gi, ', 'Bae Suzy, ', 'Seong-rok Sin, ', 'Moon Jeong-Hee']",145,Movie
In Our Mothers' Gardens,2021,Unknown,Unknown,Documentary,8.6,"In Our Mothers' Gardens celebrates the strength and resiliency of Black women and Black families through the complex, and often times humorous, relationship between mothers and daughters.","['Shantrelle P. Lewis', '| ', '    Stars:', 'Tarana Burke, ', 'Tina Farris, ', 'Shantrelle P. Lewis, ', 'Yolanda Sangeweni']",141,Movie
Vagabond,2019,Unknown,Unknown,"Action, Mystery, Thriller",8.6,Dal Geon and Hae Ri make contact with Jae Shik. Jessica and Yoon Han Gi see a big win at the National Assembly. Tae Woong undergoes scrutiny.,"['Yu In-sik', '| ', '    Stars:', 'Lee Seung-gi, ', 'Bae Suzy, ', 'Seong-rok Sin, ', 'Moon Jeong-Hee']",135,Movie
Hotel Del Luna,2019,Unknown,94 min,"Action, Comedy, Drama",8.6,"One by one, the hotel's staff leave. After realizing they met in a past life, Man Wol and Chan Seong make peace with saying goodbye.","['Choong Hwan Oh', '| ', '    Stars:', 'Ji-eun Lee, ', 'Yeo Jin-gu, ', 'Shin Jeong-geun, ', 'Bae Hae-sun']",127,Movie
Vagabond,2019,Unknown,Unknown,"Action, Mystery, Thriller",8.6,Dal Geon's explosive on-air accusation toward the president sparks a media storm. Jessica's press conference goes south quick.,"['Yu In-sik', '| ', '    Stars:', 'Lee Seung-gi, ', 'Bae Suzy, ', 'Seong-rok Sin, ', 'Moon Jeong-Hee']",122,Movie
Ella Brennan: Commanding the Table,2016,Unknown,96 min,Documentary,8.6,"Today, the world knows restaurateur Ella Brennan as the matriarch of a Creole-flavored dining dynasty dating back over half a century. She has become a household name in the restaurant ...                See full summary »","['Leslie Iwerks', '| ', '    Stars:', 'Meg Bickford, ', 'Marcelle Bienvenu, ', 'Daniel Boulud, ', 'Gene Bourg']",66,Movie
U-Prince: The Playful Comm-Arts,2016,Unknown,Unknown,Romance,8.6,"Sung dreams of making Kiran, from the comm-arts department, her boyfriend. Until one day, Sung was hit by a tricycle and made a promise with the god of death. The god of death sent her back...                See full summary »","['Korawit Boonsri, ', 'Nawat Phumphothingam, ', 'Sananthachat Thanapatpisal']",24,Movie
La Grande Chaumière Violette,2016,Unknown,Unknown,"Drama, History",8.6,"San Francisco, 1980. As 72-year-old Guo Xue Hu reminisces about his hometown, Dadaocheng, a young man walks towards him from afar. It is Xing Xiong, Yi An's son. He has brought a letter ...                See full summary »","['Eli Shih, ', 'Chia-Yen Ko, ', 'Chiung-Hsuan Hsieh, ', 'Bryant Lee']",16,Movie
Chief of Staff,2019,Unknown,Unknown,Drama,8.6,Add a Plot,"['Jung Hwan Kwak', '| ', '    Stars:', 'Lee Jung-jae, ', 'Shin Min-a, ', 'Elliya Lee, ', 'Dong-jun Kim']",11,Movie
Signal,2016,Unknown,80 min,"Crime, Drama, Fantasy",8.5,Detectives from the present and a detective from the past communicate via walkie-talkie to solve a long-time unsolved case.,"['Lee Jehoon, ', 'Kim Hye-su, ', 'Cho Jin-woong, ', 'Kim Won-Hae']",7068,Movie
Norm Macdonald Has a Show,2018,Unknown,30 min,"Comedy, Talk-Show",8.5,"Based on his podcast, comedian and former Saturday Night Live (1975) alumni Norm Macdonald and his sidekick Adam Eget sit down and chat with celebrity guests about their life, career and views in a somewhat unconventional and often irreverent way.","['Norm MacDonald, ', 'Adam Eget, ', 'Michael Keaton, ', 'Drew Barrymore']",3643,Movie
Be Here Now,2015,Unknown,100 min,"Documentary, Biography, Drama",8.5,"As though life is imitating art, actor and sex-symbol, Andy Whitfield, had just become a star as the lead in the hit television series,'Spartacus,' when he is faced with his biggest ...                See full summary »","['Lilibet Foster', '| ', '    Stars:', 'Jai Courtney, ', 'Andy Whitfield, ', 'Indigo Whitfield, ', 'Jesse Whitfield']",3417,Movie
Bill Hicks: Revelations,1993,Not Rated,57 min,"Documentary, Comedy",8.5,"Bill Hicks in the height of his genius. Recorded at the Dominion Theatre in London, Hicks opens our eyes and minds to the hypocrisy and ludicrousness of the world around us.","['Chris Bould', '| ', '    Star:', 'Bill Hicks']",3109,Movie
Sense8: Creating the World,2015,Unknown,26 min,"Documentary, Short, Sci-Fi",8.5,"Go behind the scenes and around the world with the \"Sense8\" cast and crew in this in-depth look at how the hit series is made.","['Josh Oreck, ', 'Lana Wachowski', '| ', '    Stars:', 'Freema Agyeman, ', 'Aml Ameen, ', 'Naveen Andrews, ', 'Crispin Buxton']",2690,Movie
Bill Hicks: Relentless,1992,Not Rated,61 min,"Documentary, Comedy",8.5,"Bill Hicks tells us how he feels about non-smokers, blow-jobs, religion, war and peace, drugs and music.","['Chris Bould', '| ', '    Star:', 'Bill Hicks']",2555,Movie
Misaeng,2014,Unknown,60 min,Drama,8.5,"This a Drama series about a group of co-workers in their twenties who started their job at a big multinational company. This is a story about their everyday life, about their journey each day at the office.","['Si-wan Yim, ', 'Lee Sung-min, ', 'Kang So-ra, ', 'Kang Ha-neul']",2050,Movie
Ngeri-Ngeri Sedap,2022,Unknown,114 min,"Comedy, Drama",8.5,Parents from the Batak tribe pretend to fight so that their children come home from overseas.,"['Bene Dion Rajagukguk', '| ', '    Stars:', 'Arswendy Bening Swara, ', 'Tika Panggabean, ', 'Boris Bokir, ', 'Ghita Bhebhita']",778,Movie
Vagabond,2019,Unknown,Unknown,"Action, Mystery, Thriller",8.5,Cha Dal Geon encourages his nephew to go to Morocco with the taekwondo demonstration group. Go Hae Ri walks in late to a meeting at the Korean embassy.,"['Yu In-sik', '| ', '    Stars:', 'Lee Seung-gi, ', 'Bae Suzy, ', 'Moon Jeong-Hee, ', 'Woo-Jin Moon']",232,Movie
Vagabond,2019,Unknown,Unknown,"Action, Mystery, Thriller",8.5,Dal Geon sees someone who's supposed to be dead. Hae Ri and Tae Woong head to Morocco to capture their suspect. The NIS takes Jessica Lee into custody.,"['Yu In-sik', '| ', '    Stars:', 'Lee Seung-gi, ', 'Bae Suzy, ', 'Seong-rok Sin, ', 'Moon Jeong-Hee']",140,Movie
Moving Art: Underwater,2015,Unknown,26 min,"Documentary, Short",8.5,"The wonder, mystery and majesty of the ocean's creatures. An underwater, cinematic odyssey of the depts.",['Howard Hall'],129,Movie
Hotel Del Luna,2019,Unknown,80 min,"Action, Comedy, Drama",8.5,"Man Wol is shaken by the appearance of Chan Seong's ex-girlfriend, who brings up her most painful memories.","['Choong Hwan Oh', '| ', '    Stars:', 'Ji-eun Lee, ', 'Yeo Jin-gu, ', 'Shin Jeong-geun, ', 'Bae Hae-sun']",113,Movie
Hotel Del Luna,2019,Unknown,78 min,"Action, Comedy, Drama",8.5,"While Chan Seong tries to get his job back, Man Wol grows annoyed when she learns he's being set up with a chaebol guest's granddaughter.","['Choong Hwan Oh', '| ', '    Stars:', 'Ji-eun Lee, ', 'Yeo Jin-gu, ', 'Shin Jeong-geun, ', 'Bae Hae-sun']",111,Movie
Hotel Del Luna,2019,Unknown,87 min,"Action, Comedy, Drama",8.5,Chan Seong confronts the killer. Yoo Na visits her own memorial with Hyun Joong. Ma Go Shin and the Grim Reaper observe a curiosity in Man Wol's tree.,"['Choong Hwan Oh', '| ', '    Stars:', 'Ji-eun Lee, ', 'Yeo Jin-gu, ', 'Shin Jeong-geun, ', 'Bae Hae-sun']",110,Movie
Chief of Staff,2019,Unknown,Unknown,Drama,8.5,Add a Plot,"['Jung Hwan Kwak', '| ', '    Stars:', 'Lee Jung-jae, ', 'Shin Min-a, ', 'Elliya Lee, ', 'Dong-jun Kim']",11,Movie
Chief of Staff,2019,Unknown,Unknown,Drama,8.5,Add a Plot,"['Jung Hwan Kwak', '| ', '    Stars:', 'Lee Jung-jae, ', 'Shin Min-a, ', 'Elliya Lee, ', 'Dong-jun Kim']",10,Movie
Mandela,2021,Unknown,140 min,"Comedy, Drama",8.4,A local barber's fate turns overnight when he becomes the single deciding vote in the village elections.,"['Madonne Ashwin', '| ', '    Stars:', 'Yogi Babu, ', 'Sheela Rajkumar, ', 'Sangili Murugan, ', 'Mukesh']",7055,Movie
Tim Minchin and the Heritage Orchestra,2011,Not Rated,153 min,Comedy,8.4,"Tim Minchin and The Heritage Orchestra was filmed at the Royal Albert Hall in April 2011. Tim's joined on stage by the awesome 55-piece Heritage Orchestra, led by Jules Buckley and by Pete Clements on bass and Brad Webb on drums.","['Matt Askem', '| ', '    Stars:', 'Tim Minchin, ', 'Jules Buckley, ', 'Pete Clements, ', 'Brad Webb']",387,Movie
Once Again,2020,Unknown,35 min,"Comedy, Drama, Romance",8.4,"\"Once Again\" is a story about love and family based on the Song Family, who never have a peaceful day.","['Lee Min-Jung, ', 'Ho-jin Chun, ', 'Hwa-yeon Cha, ', 'Lee Sang-Yeob']",338,Movie
Monty Don's Italian Gardens,2011,Unknown,59 min,Documentary,8.4,"Monty Don, a Gardening expert, visits gardens in various areas of Italy.",['Monty Don'],264,Movie
Vagabond,2019,Unknown,Unknown,"Action, Mystery, Thriller",8.4,"Cha Dal Geon makes a disquieting announcement to the other bereaving families and implores Go Hae Ri for help, but she seems to be hiding something.","['Yu In-sik', '| ', '    Stars:', 'Lee Seung-gi, ', 'Bae Suzy, ', 'Moon Jeong-Hee, ', 'Lee Kyung-young']",184,Movie
Vagabond,2019,Unknown,Unknown,"Action, Mystery, Thriller",8.4,Hae Ri remains skeptical about the flight-deck voice recording but is told that the evidence points to a faulty aircraft. Dal Geon is ambushed.,"['Yu In-sik', '| ', '    Stars:', 'Lee Seung-gi, ', 'Bae Suzy, ', 'Seong-rok Sin, ', 'Moon Jeong-Hee']",167,Movie
Moving Art: Deserts,2014,Not Rated,25 min,"Documentary, Short",8.4,"Filmmaker Louie Schwartzberg takes viewers to the scenic Four Corners region of America, where the night stars shine as brightly as the day's sun.",['Louie Schwartzberg'],158,Movie
Hotel Del Luna,2019,Unknown,73 min,"Action, Comedy, Drama",8.4,"Ma Go Shin hands something unexpected to Chan Seong, who's been abandoned by Man Wol and the hotel. Yoo Na and Hyun Joong spot a ghost in need.","['Choong Hwan Oh', '| ', '    Stars:', 'Ji-eun Lee, ', 'Yeo Jin-gu, ', 'Shin Jeong-geun, ', 'Bae Hae-sun']",106,Movie
Beyblade Burst Surge,2021,Unknown,Unknown,"Animation, Action, Adventure",8.4,Add a Plot,"['Ryan Bartley, ', 'Jalen K. Cassell, ', 'Amber Connor, ', 'Jade Dennis']",38,Movie
Titoudao,2020,Unknown,60 min,Drama,8.4,"Inspired by the true story of a wayang star, poor girl chases after the big stage in a tale influenced by the true story of a wayang star.","['Yeet Koe, ', 'Constance Lau, ', 'Daniel Gan, ', 'Sasidaran']",26,Movie
Project Mc2 New Years Eve Countdown 2016,2016,Unknown,Unknown,Family,8.4,Add a Plot,"['Mika Abdalla, ', 'Victoria Vida, ', 'Genneya Walton, ', 'Melissa Mabie']",24,Movie
Chief of Staff,2019,Unknown,Unknown,Drama,8.4,Add a Plot,"['Jung Hwan Kwak', '| ', '    Stars:', 'Lee Jung-jae, ', 'Shin Min-a, ', 'Elliya Lee, ', 'Dong-jun Kim']",10,Movie
Moving Art: Whales and Dolphins,2017,Unknown,Unknown,Documentary,8.4,Add a Plot,['Howard Hall'],8,Movie
While You Were Sleeping,2017,Unknown,30 min,"Comedy, Drama, Fantasy",8.3,"The drama is about a woman, Nam Hong Joo, who can see accidents that take place in the future through her dreams. And a prosecutor, Jung Jae Chan, who struggles to stop the woman's dreams from coming true.","['Bae Suzy, ', 'Lee Jong-Suk, ', 'Jung Hae-In, ', 'Lee Sang-Yeob']",7318,Movie
Violet Evergarden: The Movie,2020,Unknown,140 min,"Animation, Drama, Fantasy",8.3,"After the aftermath of a war, a young girl who was used as a 'tool' for war learned to live. With the scars of burns, she goes back to her past to feel the true feelings of the Major's, \"I love you.\"","['Taichi Ishidate', '| ', '    Stars:', 'Yui Ishikawa, ', 'Daisuke Namikawa, ', 'Takehito Koyasu, ', 'Hidenobu Kiuchi']",6641,Movie
Tales of the City,1993,Unrated,360 min,"Drama, Mystery, Romance",8.3,The stories of several colorful characters living in San Francisco.,"['Olympia Dukakis, ', 'Donald Moffat, ', 'Chloe Webb, ', 'Laura Linney']",4085,Movie
November 13: Attack on Paris,2018,Unknown,55 min,Documentary,8.3,"Documentary chronicling the terrorist attacks in Paris on November 13, 2015.","['François Hollande, ', 'Anne Hidalgo, ', 'Line, ', 'Bley Bilal Mokono']",3239,Movie
Tunnel,2017,Unknown,60 min,"Crime, Drama, Fantasy",8.3,A detective follows the trail of a serial killer 30 years into the future and teams up with detectives in that time period to find the culprit.,"['Choi Jin-Hyuk, ', 'Hyun-min Yoon, ', 'Hie-bong Jo, ', 'Min-Sang Kim']",2940,Movie
Bill Hicks: Sane Man,1989,Not Rated,81 min,"Documentary, Comedy",8.3,"Comedian Bill Hicks performs a live stand-up show in Austin, Texas.","['Kevin Booth, ', 'David Johndrow', '| ', '    Star:', 'Bill Hicks']",2382,Movie
Alma Matters - Inside the IIT Dream,2021,Unknown,150 min,Documentary,8.3,"In a \"nation of middle-class\" the IIT dream involves clearing the world's toughest public exam for guaranteed lifelong success. Life is not an exam though. It's a hustle, one that nobody trains them for. The result? Eternal tumult.","['Adarsh Upadhyay, ', 'Lokesh Deshmukh, ', 'Kevin Banker, ', 'Shubham Agarwal']",2370,Movie
Ashes of Love,2018,Unknown,45 min,"Comedy, Fantasy, Romance",8.3,"Flower Goddess dies giving birth to her daughter, Jin Mi. She was imprisoned within Shui Jing until Xu Feng, heavenly emperor's second sun enters it mistakenly. After living together for 100years he falls in love with that ignorant Jin Mi.","['Zi Yang, ', 'Allen Deng, ', 'Yunxi Luo, ', 'Yuqi Chen']",2076,Movie
Terra,2015,Unknown,98 min,Documentary,8.3,A visually stunning documentary that reflects human's relationship to other species on Earth as humanity becomes more and more isolated from Nature.,"['Yann Arthus-Bertrand, ', 'Michael Pitiot', '| ', '    Star:', 'Vanessa Paradis']",1924,Movie
Chicago Typewriter,2017,Unknown,70 min,"Drama, Fantasy, Romance",8.3,"Writers that lived under Japanese rule in the 1930s are reincarnated into a bestselling writer who is in a slump, a mysterious ghostwriter, and a devoted fan of the bestselling writer.","['Yoo Ah-in, ', 'Lim Soo-jung, ', 'Go Kyung-Pyo, ', 'Si-Yang Kwak']",1796,Movie
Nazi Concentration Camps,1945,Not Rated,59 min,"Documentary, History",8.3,Produced and presented as evidence at the Nuremberg war crimes trial of Hermann Göring and twenty other Nazi leaders.,"['George Stevens', '| ', '    Stars:', 'Dwight D. Eisenhower, ', 'Omar N. Bradley, ', 'George S. Patton, ', 'Hayden Sears']",1481,Movie
Live,2018,Unknown,60 min,"Comedy, Crime, Drama",8.3,"The drama revolves around the incidents that occur among the police force and the joy, sorrow, and pain that police officers experience as they try to protect justice.","['Jung Yu-mi, ', 'Kwang-Soo Lee, ', 'Sung-Woo Bae, ', 'Chong-ok Bae']",1323,Movie
Colombia magia salvaje,2015,Unknown,94 min,Documentary,8.3,"A wonderful country full of amazing creatures in America called Colombia , seen as never before, accompanied by incredible shots , make it a must-see place for adventurers and wildlife lovers this natural paradise.","['Mike Slee', '| ', '    Star:', 'Julio Sanchéz Cristo']",1304,Movie
My Name Is Barbra,1965,Unknown,60 min,"Family, Music",8.3,"Barbra Streisand's first television special, featuring a medley of her hit songs, such as \"People,\" \"Happy Days Are Here Again\" and \"My Man.\"","['Dwight Hemion, ', 'Joe Layton', '| ', '    Star:', 'Barbra Streisand']",364,Movie
Empresses in the Palace,2015,Unknown,90 min,"Drama, History, Romance",8.3,Six episode cut version of the China's royal harem story Empresses in the Palace (2011).,"['Li Sun, ', 'Kang Luo, ', 'Qian Sun, ', 'Lyric Lan']",357,Movie
