title,year,certificate,duration,genre,rating,description,stars,votes,type
Escape from the Spirit World,2007,Unknown,13 min,Short,8.3,This video short follows Aang as he wanders the spirit world looking for his past lives while he was unconscious from when he was electrocuted by Azula (in between seasons 2 and 3). He ...                See full summary »,"['Zach Tyler Eisen, ', 'Mae Whitman, ', 'Jack De Sena, ', 'Michaela Jill Murphy']",282,Movie
"You Can Do It, My Dear!",2022,Unknown,129 min,Documentary,8.3,"Throughout his impressive acting career, Haldun Dormen inspired and encouraged his theater students to work hard and follow their dreams.","['Selçuk Metin', '| ', '    Stars:', 'Haldun Dormen, ', 'Demet Evgar, ', 'Memet Ali Alabora, ', 'Mustafa Alabora']",265,Movie
Moving Art: Flowers,2014,Not Rated,25 min,"Documentary, Short",8.3,"Celebrated filmmaker Louie Schwartzberg takes viewers on an enchanting journey, unveiling the mysteries and wonders of the natural world as elegant flowers come to life through his stunning time-lapse cinematography.",['Louie Schwartzberg'],211,Movie
Moving Art: Forests,2014,Not Rated,25 min,"Documentary, Short",8.3,Viewers will marvel at the majesty of nature's gentle giants as filmmaker Louie Schwartzberg journeys to the Redwood Coast and Olympic National Park.,['Louie Schwartzberg'],203,Movie
All Quiet on the Western Front,2022,R,147 min,"Action, Drama, War",8.3,A young German soldier's terrifying experiences and distress on the western front during World War I.,"['Edward Berger', '| ', '    Stars:', 'Daniel Brühl, ', 'Albrecht Schuch, ', 'Sebastian Hülk, ', 'Anton von Lucke']",199,Movie
Vagabond,2019,Unknown,Unknown,"Action, Mystery, Thriller",8.3,"When Oh Sang Mi disappears, Dal Geon and Hae Ri realize there's more to the situation. Meanwhile, Prime Minister Hong takes advantage of the crisis.","['Yu In-sik', '| ', '    Stars:', 'Lee Seung-gi, ', 'Bae Suzy, ', 'Seong-rok Sin, ', 'Moon Jeong-Hee']",119,Movie
Moving Art: Waterfalls,2015,Unknown,25 min,"Documentary, Short",8.3,This collection of short nature films from Louie Schwartzberg depicts the world's most dazzlingly beautiful waterfalls.,['Louie Schwartzberg'],96,Movie
Hikaru Utada: Laughter in the Dark Tour 2018,2019,Unknown,141 min,Music,8.3,"If there was anyone you could call a true queen of J-pop, it's most definitely Utada Hikaru. She's one of the best selling artists in Japan of all time, with her debut album hitting almost ...                See full summary »",['Hikaru Utada'],93,Movie
Rimba Racer,2017,Unknown,22 min,"Animation, Action, Adventure",8.3,"RIMBA Racer is an action-packed animation series revolving around Tag, a talented rookie racer and newcomer to the prestigious RIMBA Grand Prix, a racing competition full of tough rivals, dangerous challenges and hidden agendas.","['Steven Tan, ', 'Iain McNally, ', 'Tikriti Shabudin, ', 'Azman Zulkiply']",77,Movie
Voltron 84,2017,Unknown,Unknown,"Animation, Action, Sci-Fi",8.3,Add a Plot,"['Jeffrey Michael Adams, ', 'Steve Ahn, ', 'Christine Bian, ', 'Kimberly Brooks']",60,Movie
Fuller House Featurette,2016,Unknown,Unknown,Short,8.3,Add a Plot,['Twain Taylor'],24,Movie
Gekijouban Shimajirou no wao!: Shimajirou to kujira no uta,2014,Unknown,Unknown,"Animation, Adventure, Family",8.3,"Shimajiro and his friends discover an injured whale and Gaogao helps it out, they later go underwater to find the whale mother and the fish in the ocean and encounters a giant crab.","['Hiroshi Kawamata, ', 'Young Kyun Park, ', 'Isamu Hirabayashi', '| ', '    Stars:', 'Omi Minami, ', 'Miki Takahashi, ', 'Takumi Yamazaki, ', 'Saori Sugimoto']",22,Movie
Chief of Staff,2019,Unknown,Unknown,Drama,8.3,Add a Plot,"['Jung Hwan Kwak', '| ', '    Stars:', 'Lee Jung-jae, ', 'Shin Min-a, ', 'Elliya Lee, ', 'Dong-jun Kim']",11,Movie
Kiss the Ground,2020,Unknown,84 min,Documentary,8.2,"A revolutionary group of activists, scientists, farmers, and politicians band together in a global movement of \"Regenerative Agriculture\" that could balance our climate, replenish our vast water supplies, and feed the world.","['Joshua Tickell, ', 'Rebecca Harrell Tickell', '| ', '    Stars:', 'Woody Harrelson, ', 'Ray Archuleta, ', 'John Wick, ', 'Kristin Ohlson']",6883,Movie
The 1st Shop of Coffee Prince,2007,Unknown,55 min,"Comedy, Drama, Romance",8.2,"A tomboy, mistaken for a lad, maintains the deception for the sake of employment. The situation becomes complicated when her male boss begins to develop feelings for this \"boy.\"","['Gong Yoo, ', 'Yun Eun-hye, ', 'Lee Sun-kyun, ', 'Jeong-an Chae']",5541,Movie
Cuba and the Cameraman,2017,Unknown,113 min,Documentary,8.2,"Life in Cuba for three struggling families over the course of 45 years, from the cautious optimism of the early 1970s to the harrowing 1990s after the fall of the Soviet Union and the 2016 death of Fidel Castro.",['Jon Alpert'],4943,Movie
The Crash Reel,2013,Unknown,108 min,"Documentary, Biography, Sport",8.2,"Fifteen years of verite footage show the epic rivalry between half-pipe legends Shaun White and Kevin Pearce, childhood friends who become number one and two in the world leading up to the ...                See full summary »","['Lucy Walker', '| ', '    Stars:', 'Kevin Pearce, ', 'Shaun White, ', 'Mason Aguirre, ', 'Daniel Amen']",4890,Movie
46 Yok Olan,2016,Unknown,60 min,"Action, Crime, Drama",8.2,A genetic professor wants to save his sister from a long-time coma by using a medicine he has just discovered. But this discovery changes his life in an unexpected way.,"['Erdal Besikçioglu, ', 'Yasemin Kay Allen, ', 'Melis Birkan, ', 'Saygin Soysal']",4365,Movie
A Man Called Ahok,2018,Unknown,102 min,"Biography, Drama",8.2,"Depicts the life of the titular former governor of Jakarta before he ran for office, Ahok learned a lot about discipline from his father who ran a mining business in Belitung while dealing with various corrupt people.","['Putrama Tuta', '| ', '    Stars:', 'Daniel Mananta, ', 'Kin Wah Chew, ', 'Eric Febrian, ', 'Denny Sumargo']",4326,Movie
Alive Inside: A Story of Music and Memory,2014,Not Rated,78 min,"Documentary, Music, News",8.2,"Dan Cohen, founder of the nonprofit organization Music & Memory, fights against a broken healthcare system to demonstrate music's ability to combat memory loss and restore a deep sense of self to those suffering from it.","['Michael Rossato-Bennett', '| ', '    Stars:', 'Dan Cohen, ', 'Louise Dueno, ', 'Nell Hardie, ', 'Norman Hardie']",3146,Movie
Dancing with the Birds,2019,Unknown,52 min,Documentary,8.2,"From ruffling their majestic feathers to nailing im-peck-able courtship routines, birds in paradise flaunt their best moves in hopes of landing a mate.","['Huw Cordey', '| ', '    Star:', 'Stephen Fry']",2395,Movie
A Place Further Than the Universe,2018,Unknown,23 min,"Animation, Adventure, Comedy",8.2,"Mari Tamaki is in her second year of high school and wants to start something. It's then that she meets Shirase, a girl with few friends who's considered weirdo by the rest of the class and...                See full summary »","['Inori Minase, ', 'Kana Hanazawa, ', 'Yuka Iguchi, ', 'Saori Hayami']",2283,Movie
McCullin,2012,Unknown,91 min,Documentary,8.2,"To many, Don McCullin is the greatest living war photographer, often cited as an inspiration for today's photojournalists. For the first time, McCullin speaks candidly about his ...                See full summary »","['David Morris, ', 'Jacqui Morris', '| ', '    Stars:', 'Harold Evans, ', 'Don McCullin, ', 'Michael Parkinson, ', 'Sue Ryder']",2238,Movie
India's Daughter,2015,Unknown,63 min,"Documentary, Biography, Crime",8.2,"The life and death of Jyoti Singh, an Indian medical student whose violation and murder by gang rapists exposed the violent misogyny of Indian society.","['Leslee Udwin', '| ', '    Stars:', 'Asha Devi, ', 'Badri Singh, ', 'Satendra, ', 'Mukesh Singh']",2127,Movie
My Country: The New Age,2019,Unknown,80 min,"Action, Drama, History",8.2,"Set during the end of the Goryeo period to the early Joseon period. Two friends aim their swords against one another due to differences in opinion about \"my country.\"","['Yang Se-Jong, ', 'Woo Do-Hwan, ', 'Jang Hyuk, ', 'Seol-Hyun Kim']",1961,Movie
18 Again,2020,Unknown,70 min,"Comedy, Drama, Fantasy",8.2,A 37-year-old man on the verge of being divorced from his wife suddenly finds himself inside his 18-year-old body. He starts living a new life under a new name to get closer to his children and protect them.,"['Ha-neul Kim, ', 'Yoon Sang-Hyun, ', 'Lee Do-Hyun, ', 'No Jeong-ee']",1889,Movie
Blood Brother,2013,Not Rated,92 min,Documentary,8.2,Documentarian visits best friend in India to see the mutual unconditional love that keeps his buddy bonded to a village hostel housing AIDS-afflicted children.,"['Steve Hoover', '| ', '    Stars:', 'Rocky Braat, ', 'Steve Hoover, ', 'Anitha, ', 'Devi']",1641,Movie
Defendant,2017,Unknown,70 min,"Crime, Drama, Mystery",8.2,"Park Jeong Woo is a prosecutor at Seoul Central District Prosecutors' Office. One day, he wakes up and finds himself a convict on death row. Suffering from temporary amnesia, Jeong Woo has ...                See full summary »","['Seong Ji, ', 'Ki-joon Uhm, ', 'Jo Jae-yoon, ', 'Rin-Ah Shin']",1553,Movie
The King's Avatar,2019,Unknown,45 min,"Action, Adventure",8.2,"Ye Xiu (Yang Yang) is a well known top tier player in an online game Glory. After forcefully expelled out of his professional team, he was employed in an Internet Cafe as an odd-job worker.","['Yang Yang, ', 'Shuying Jiang, ', 'Daisy Li, ', 'Leon Lai Yi']",1191,Movie
Go Back Couple,2017,Unknown,70 min,"Drama, Fantasy, Romance",8.2,"Having married young, when frustration with their lives make Choi Ban Doo and Ma Jin Joo regret their marriage of 18 years, a strange occurrence has them traveling back in time to the day before they met and into their younger selves.","['Jang Na-ra, ', 'Ho Joon Son, ', 'Jang Ki-Yong, ', 'Jeong-min Heo']",1132,Movie
Stewart Lee: 41st Best Stand-Up Ever!,2008,Unknown,80 min,Comedy,8.2,"An extended version of sardonic Stewart Lee's acclaimed 2007 Edinburgh show, prompted by his ranking in a Channel 4 run-down.","['Michael Cumming', '| ', '    Star:', 'Stewart Lee']",612,Movie
Father Is Strange,2017,Unknown,66 min,"Comedy, Drama, Family",8.2,"Ahn Joong-Hee (Lee Joon) is an actor who used to be a member of an idol group. One day, he appears in front of a family who consists Byun Han-Soo and Na Young-Sil and their 4 children ...                See full summary »","['Yeong-cheol Kim, ', 'Kim Hae-sook, ', 'Yu-ri Lee, ', 'Soo-young Ryu']",558,Movie
Tree with Deep Roots,2011,Not Rated,Unknown,"Drama, History",8.2,"A series of murders occurred during the reign of King Sejong. As Kang Chae Yoon who is investigating these cases gets closer to the root of the truth, he finds himself embroiled in a ...                See full summary »","['Ahn Suk-hwan, ', 'Yeo Jin-gu, ', 'Lee Soo-hyuk, ', 'Cho Jin-woong']",513,Movie
Di-eo Ma-i Peu-ren-jeu,2016,Unknown,70 min,"Comedy, Drama",8.2,"Depict the life story of the ones in their twilight years, who raise their voices as \"It's not over. We're still alive\".","['Hyun-Jung Go, ', 'Youn Yuh-jung, ', 'Hye-ja Kim, ', 'Kim Young-ok']",393,Movie
Julie's Greenroom,2017,Unknown,27 min,"Comedy, Family, Musical",8.2,Ms. Julie (Dame Julie Andrews) teaches performing arts workshops to a group of puppet children and a duck with the help of her assistant Gus (Giullian Yao Gioiello) and celebrity guests at her Wellspring Center for the Performing Arts.,"['Julie Andrews, ', 'Giullian Yao Gioiello, ', \"Stephanie D'Abruzzo, \", 'John Tartaglia']",331,Movie
Small Shots,2017,Unknown,Unknown,Comedy,8.2,Short episode series about two actors trying to break through in Hollywood.,"['Joseph Russo, ', 'Jeremy Luke, ', 'Caitlin Thompson, ', 'DJ Lubel']",125,Movie
Hotel Del Luna,2019,Unknown,92 min,"Action, Comedy, Drama",8.2,"Man Wol wonders if Chan Seong is really Go Chung Myung, and if he is, what choice she must make. The hotel's lights go out.","['Choong Hwan Oh', '| ', '    Stars:', 'Ji-eun Lee, ', 'Yeo Jin-gu, ', 'Shin Jeong-geun, ', 'Bae Hae-sun']",107,Movie
Roll with Me,2017,Unknown,90 min,Documentary,8.2,"After hitting rock-bottom, a newly sober paraplegic attempts to save his gang-banger nephew's life by bringing him along on a 3,100-mile wheelchair trek across the United States.","['Lisa France', '| ', '    Stars:', 'Gabriel Cordell, ', 'Christopher Kawas, ', 'Lisa France, ', 'J.A. Streeter']",99,Movie
Luo Bao Bei,2018,Unknown,Unknown,Animation,8.2,The story is about a 7-year-old Luo Bao Bei as she navigates childhood and the world around her. Fantasy and dreams add elements of surrealism.,"['Hana Burnett, ', 'Gok Wan, ', 'Ching-He Huang, ', 'David Yip']",37,Movie
Pit Sawat,2016,Unknown,Unknown,"Drama, Fantasy, History",8.2,"In ancient Thailand a war breaks out between the Thais and the Burmese. When defeat became imminent for the Thais, a warrior kills his wife and curses her soul to be the protector of all ...                See full summary »","['Nawat Kulrattanarak, ', 'Woranuch BhiromBhakdi, ', 'Phutharit Prombandal']",35,Movie
Tsunami Killed My Bandmates,2020,Unknown,93 min,"Documentary, Drama",8.2,"Film Based on the 2018 Banten Tsunami and a 55-Hour Footage. About friendship, struggle, separation and giving up loved ones. Docudrama of Seventeen's journey, career and calamities.","['Upie Guava', '| ', '    Stars:', 'Riefian Fajarsyah, ', 'Herman Sikumbang, ', 'M. Awal Purbani, ', 'W. Andi Darmawan']",25,Movie
The World's Oddest Animal Couples,2016,Unknown,Unknown,Documentary,8.2,"Hosted by Dr. Carin Bondar, this series explores the unique and extraordinary friendships that form in unlikely places. Bondar travels the globe in search of people and animals with astonishing connections.",['Carin Bondar'],25,Movie
Die Goldene Kamera 2017,2017,Unknown,145 min,Unknown,8.2,The Golden Camera 2017.,"['Ladislaus Kiraly, ', 'Thomas Hermanns', '| ', '    Stars:', 'Steven Gätjen, ', 'James Blunt, ', 'Leonard Carow, ', 'Geraldine Chaplin']",22,Movie
Secret Unrequited Love,2019,Unknown,Unknown,Romance,8.2,"Mayu and Takuma are childhood friends. At age 8, they learn that Takuma will die from terminal illness before he turns 20. Even so, the two grow older and fall in love. Eventually, new people will enter into their lives..","['Honoka Miki, ', 'Katsuhisa Namase, ', 'Riko Fukumoto, ', 'Fumika Baba']",21,Movie
"1994: Poder, Rebeldía y Crimen en México",2019,Unknown,Unknown,Documentary,8.2,"1994 looks at a convoluted period in recent Mexican history, including the assassination of Luis Donaldo Colosio, the raising of the Zapatist Liberation Army, and the end of the rule of Carlos Salinas.",[],21,Movie
The Deadly Affair,2022,Unknown,Unknown,"Mystery, Romance, Thriller",8.2,"Love, death, revenge and redemption.","['Jirayu Tangsrisuk, ', 'Yeena Salas, ', 'Pilaiporn Supinchompoo, ', 'Thidarut Pruethong']",17,Movie
Drug Squad: Costa del Sol,2019,Unknown,Unknown,"Action, Drama, Romance",8.2,Add a Plot,"['Fernando Bassi', '| ', '    Stars:', 'Hugo Silva, ', 'Álvaro Cervantes, ', 'Miki Esparbé, ', 'Jesús Castro']",14,Movie
Requiem for the American Dream,2015,Not Rated,73 min,"Documentary, Biography, News",8.1,Renowned academic and author Noam Chomsky elucidates 10 principles of concentration of wealth and power that have led to unprecedented inequality and the hollowing out of the American middle class.,"['Peter D. Hutchison, ', 'Kelly Nyks, ', 'Jared P. Scott', '| ', '    Stars:', 'Noam Chomsky, ', 'Alan Greenspan, ', 'Malcolm X, ', 'Richard Nixon']",9838,Movie
Hotel Del Luna,2019,Unknown,80 min,"Action, Comedy, Drama",8.1,"When he's invited to manage a hotel for dead souls, an elite hotelier gets to know the establishment's ancient owner and her strange world.","['Ji-eun Lee, ', 'Yeo Jin-gu, ', 'Shin Jeong-geun, ', 'Bae Hae-sun']",9013,Movie
Vagabond,2019,Unknown,60 min,"Action, Mystery, Thriller",8.1,An ordinary man who comes across surprising circumstances that place him in the center of a huge corruption scandal.,"['Lee Seung-gi, ', 'Bae Suzy, ', 'Moon Jeong-Hee, ', 'Yun-shik Baek']",8368,Movie
Nayattu,2021,Unknown,124 min,"Crime, Thriller",8.1,"Three police officers who are on a run for life, escaping the outbreak against them due to the unlawful arrest and torture of a civilian. It brings in a few shades of arrogant yet very much human police officers and their helplessness.","['Martin Prakkat', '| ', '    Stars:', 'Kunchacko Boban, ', 'Joju George, ', 'Nimisha Sajayan, ', 'Jaffer Idukki']",7255,Movie
Something in the Rain,2018,Unknown,75 min,"Drama, Romance",8.1,"Yoon Jin Ah is a woman in her mid-30s who doesn't know yet what it's like to date a man. She's been dumped by a man many times because of her clumsy, reckless and foolish behavior. And ...                See full summary »","['Son Ye-jin, ', 'Jung Hae-In, ', 'Joo Min-Kyung, ', 'Kim Chang-wan']",6434,Movie
Fight for My Way,2017,Unknown,70 min,"Comedy, Romance",8.1,"Ko Dong Man, a high school Taekwondo champion who is now pursuing a career in the UFC, and Choi Ae Ra, a dynamic girl whose desire is to become a famous announcer, have been best friends ...                See full summary »","['Park Seo-joon, ', 'Kim Ji-Won, ', 'Jae-hong Ahn, ', 'Song Ha-Yoon']",6422,Movie
Because This Is My First Life,2017,Unknown,70 min,"Comedy, Drama, Romance",8.1,"Ji Ho is a single woman. She's a writing assistant of dramas. She's a strong and determined woman. Unfortunately, she has to leave her house and seeks other place to live. Her friends help her to find a roommate. That roommate is Se Hee.","['Jung So-Min, ', 'Lee Min-ki, ', 'Esom, ', 'Byeong-eun Park']",4952,Movie
Bobby Robson: More Than a Manager,2018,Unknown,104 min,"Documentary, Sport",8.1,"The definitive portrait of the late English football manager Sir Bobby Robson, one of the game's most inspirational and influential figures, whose legacy lives on far beyond the football field.","['Gabriel Clarke, ', 'Torquil Jones', '| ', '    Stars:', 'José Mourinho, ', 'Gary Lineker, ', 'Pep Guardiola, ', 'Ronaldo']",3107,Movie
Cooked,2016,Unknown,60 min,Documentary,8.1,"As he tries his hand at baking, brewing and braising, acclaimed food writer Michael Pollan explores how cooking transforms food and shapes our world.","['Michael Pollan, ', 'Samin Nosrat, ', 'Isaac Pollan']",3002,Movie
Rookie Historian Goo Hae-Ryung,2019,Unknown,35 min,"Comedy, Drama, History",8.1,"Set in the early 19th century. Goo Hae Ryung works as a historian. Female historians like Goo Hae Ryung are generally looked down upon because of their gender. Yet, Goo Hae Ryung fulfills ...                See full summary »","['Shin Se-Kyung, ', 'Cha Eun-Woo, ', 'Ji-Hoon Lee, ', 'Gi-woong Park']",2152,Movie
Samurai Gourmet,2017,Unknown,20 min,"Adventure, Comedy",8.1,"A 60 year old retired salary-man finds new purpose in exploring the food of his neighborhood. Aided by his fantasy companion, a samurai who inspires him to boldly experience this new chapter of his life.","['Naoto Takenaka, ', 'Tetsuji Tamayama, ', 'Honami Suzuki, ', 'Hiroki Ikehara']",2123,Movie
Monty Python: Almost the Truth - The Lawyer's Cut,2009,Unknown,54 min,"Documentary, Biography",8.1,A documentary on the history on British comedy group Monty Python. Features interviews with the five surviving members plus other comedians and artists whose careers they have influenced.,"['Eric Idle, ', 'John Cleese, ', 'Michael Palin, ', 'Terry Gilliam']",1783,Movie
Rising Phoenix,2020,PG-13,105 min,"Documentary, Sport",8.1,"The history and current standing of the Paralympic Games, which has grown to become the world's third largest sporting event.","['Ian Bonhôte, ', 'Peter Ettedgui', '| ', '    Stars:', 'Jean-Baptiste Alaize, ', 'Ryley Batt, ', 'Ellie Cole, ', 'Philip Craven']",1704,Movie
Parrot Sketch Not Included: Twenty Years of Monty Python,1989,Not Rated,72 min,Comedy,8.1,Sketches from Monty Python's Flying Circus (1969).,"['Ian MacNaughton', '| ', '    Stars:', 'Steve Martin, ', 'Graham Chapman, ', 'John Cleese, ', 'Terry Gilliam']",1535,Movie
Doctor John,2019,Unknown,35 min,"Drama, Mystery, Romance",8.1,"In a refreshing take on the genre, \"Doctor John\" will portray the doctors' search for the cause of their patients' mysterious pain as a thrilling chase, almost like a detective hunting down the perpetrator behind an unsolved crime.","['Seong Ji, ', 'Se-yeong Lee, ', 'Hwang Hee, ', 'Min-a Jeong']",1471,Movie
Designated Survivor: 60 Days,2019,Unknown,70 min,"Drama, Thriller",8.1,"When the National Assembly suffers a catastrophic attack, Minister of Environment Park Mu Jin must find a way to lead Korea through the ensuing chaos.","['Jin-hee Ji, ', 'Joon-ho Huh, ', 'Kang Han-na, ', 'Lee Joon-hyuk']",1326,Movie
My Love Mix-Up!,2021,Unknown,30 min,"Comedy, Romance",8.1,"Aoki thinks the girl he's in love with likes another boy, who thinks Aoki has feelings for him. Why does first love always have to be so complicated?","['Shunsuke Michieda, ', 'Ren Meguro, ', 'Riko Fukumoto, ', 'Jin Suzuki']",951,Movie
Melloga Chejil,2019,Unknown,65 min,"Comedy, Romance",8.1,"A romantic comedy that depicts the daily lives of 30-year-old best friends Lim Jin Joo, Lee Eun Jung and Hwang Han Joo.","['Woo-hee Chun, ', 'Jeon Yeo-bin, ', 'Han Ji-Eun, ', 'Jae-hong Ahn']",664,Movie
Reset,2022,Unknown,45 min,"Drama, Sci-Fi, Thriller",8.1,"A video game architect and a college girl's life are keep being reset after encountering a bus-bomb explosion. During each reset, they worked together with the police to find the truth and try to save the innocent people.","['Tao Liu, ', 'Jingting Bai, ', 'Jinmai Zhao, ', 'Jue Huang']",619,Movie
Glass Onion: A Knives Out Mystery,2022,PG-13,139 min,"Crime, Drama, Mystery",8.1,Famed Southern detective Benoit Blanc travels to Greece for his latest case.,"['Rian Johnson', '| ', '    Stars:', 'Daniel Craig, ', 'Edward Norton, ', 'Kate Hudson, ', 'Dave Bautista']",548,Movie
Glass Onion: A Knives Out Mystery,2022,PG-13,139 min,"Crime, Drama, Mystery",8.1,Famed Southern detective Benoit Blanc travels to Greece for his latest case.,"['Rian Johnson', '| ', '    Stars:', 'Daniel Craig, ', 'Edward Norton, ', 'Kate Hudson, ', 'Dave Bautista']",547,Movie
Joanna Lumley's Silk Road Adventure,2018,Unknown,45 min,Documentary,8.1,"This epic new four-part series is Joanna Lumley's grandest and most challenging journey yet, a breath-taking odyssey from Venice to the Chinese border along the veins of the ancient Silk ...                See full summary »",['Joanna Lumley'],298,Movie
Tim Minchin So F**king Rock,2008,Not Rated,127 min,"Comedy, Music",8.1,"Performing material from his \"So Rock\" and \"Dark Side\" albums, ranging from sharply critical, to lighthearted, to sweet, Minchin shows off his skills as a musician, comedian and social critic in this hilarious two hour live show.","['Matt Askem', '| ', '    Star:', 'Tim Minchin']",297,Movie
Hotel Del Luna,2019,Unknown,76 min,"Action, Comedy, Drama",8.1,Yoo Na has a nasty run-in with one of Ma Go Shin's faces. Chan Seong and Man Wol track down the ghost who escaped from Room 13.,"['Choong Hwan Oh', '| ', '    Stars:', 'Ji-eun Lee, ', 'Yeo Jin-gu, ', 'Shin Jeong-geun, ', 'Bae Hae-sun']",106,Movie
Ugly Duckling Series: Don't,2015,Unknown,50 min,"Drama, Romance",8.1,"After confessing her love in elementary school to her crush, Maewnam is literally crushed when he rejects her in front of all his friends. He calls her ugly and it's at that moment that she...                See full summary »","['Korapat Kirdpan, ', 'Puttichai Kasetsin, ', 'Jirakit Thawornwong, ', 'Wiraporn Jiravechsoontornkul']",94,Movie
"A Decade of Decadence, Pt. 2: Legacy of Dreams",2013,PG-13,65 min,Documentary,8.1,"A inside look at the making of, A Tiger in the Dark: The Decadence Saga: The Legacy Edition DVD. Featuring discussions with the cast, early animation tests, and never before seen artwork by Adam Haney.","['Drew Glick', '| ', '    Stars:', 'Gordon Auld, ', 'Howie Boulware Jr., ', 'Tod Boulware, ', 'Patrícia Faolli']",51,Movie
Moonbeams,2001,Not Rated,81 min,Drama,8.1,"Moonbeams is the coming of age story of Dave Parker (Peter Richard), a boy whose family is falling apart who seeks help by talking to the moon.","['Don Haderlein', '| ', '    Stars:', 'Janna Copley, ', 'Jason Dugre, ', 'Nancy Fassett, ', 'Merritt Gibbons']",10,Movie
Santa Clarita Diet: I Love Bodies,2018,Unknown,1 min,"Short, Comedy",8.1,Add a Plot,['Matt T. Sample'],9,Movie
